
Opening Error Output File (ERROR.TXT) on Tue Mar 18 08:38:10.630, 2025


columns = 32, rows = 32
col_vstep = 129.032257, row_vstep = 129.032257
col_tstep=8.225806, row_tstep=8.225806
num_vertices = 1024, num_polys = 1922
Vertex 241: V[193.548370, 30.196079, -1096.774170], T[139.838699, 57.580643]
Vertex 242: V[322.580627, 24.705883, -1096.774170], T[148.064514, 57.580643]
Vertex 243: V[451.612885, 5.490196, -1096.774170], T[156.290314, 57.580643]
Vertex 244: V[580.645142, 60.392159, -1096.774170], T[164.516129, 57.580643]
Vertex 245: V[709.677368, 150.980392, -1096.774170], T[172.741928, 57.580643]
Vertex 246: V[838.709656, 194.901962, -1096.774170], T[180.967743, 57.580643]
Vertex 247: V[967.741943, 282.745087, -1096.774170], T[189.193542, 57.580643]
Vertex 248: V[1096.774170, 337.647064, -1096.774170], T[197.419342, 57.580643]
Vertex 249: V[1225.806396, 332.156860, -1096.774170], T[205.645157, 57.580643]
Vertex 250: V[1354.838623, 238.823532, -1096.774170], T[213.870956, 57.580643]
Vertex 251: V[1483.870972, 192.156860, -1096.774170], T[222.096771, 57.580643]
Vertex 252: V[1612.903198, 153.725494, -1096.774170], T[230.322571, 57.580643]
Vertex 253: V[1741.935425, 107.058823, -1096.774170], T[238.548386, 57.580643]
Vertex 254: V[1870.967773, 60.392159, -1096.774170], T[246.774185, 57.580643]
Vertex 255: V[2000.000000, 5.490196, -1096.774170], T[255.000000, 57.580643]
Vertex 256: V[-2000.000000, 2.745098, -967.741943], T[0.000000, 65.806450]
Vertex 257: V[-1870.967773, 2.745098, -967.741943], T[8.225806, 65.806450]
Vertex 258: V[-1741.935547, 2.745098, -967.741943], T[16.451612, 65.806450]
Vertex 259: V[-1612.903198, 2.745098, -967.741943], T[24.677418, 65.806450]
Vertex 260: V[-1483.870972, 8.235294, -967.741943], T[32.903225, 65.806450]
Vertex 261: V[-1354.838745, 10.980392, -967.741943], T[41.129032, 65.806450]
Vertex 262: V[-1225.806396, 10.980392, -967.741943], T[49.354836, 65.806450]
Vertex 263: V[-1096.774170, 19.215687, -967.741943], T[57.580643, 65.806450]
Vertex 264: V[-967.741943, 60.392159, -967.741943], T[65.806450, 65.806450]
Vertex 265: V[-838.709717, 10.980392, -967.741943], T[74.032257, 65.806450]
Vertex 266: V[-709.677429, 8.235294, -967.741943], T[82.258064, 65.806450]
Vertex 267: V[-580.645142, 2.745098, -967.741943], T[90.483871, 65.806450]
Vertex 268: V[-451.612915, 2.745098, -967.741943], T[98.709671, 65.806450]
Vertex 269: V[-322.580658, 2.745098, -967.741943], T[106.935478, 65.806450]
Vertex 270: V[-193.548401, 5.490196, -967.741943], T[115.161285, 65.806450]
Vertex 271: V[-64.516144, 10.980392, -967.741943], T[123.387093, 65.806450]
Vertex 272: V[64.516113, 10.980392, -967.741943], T[131.612900, 65.806450]
Vertex 273: V[193.548370, 19.215687, -967.741943], T[139.838699, 65.806450]
Vertex 274: V[322.580627, 19.215687, -967.741943], T[148.064514, 65.806450]
Vertex 275: V[451.612885, 16.470589, -967.741943], T[156.290314, 65.806450]
Vertex 276: V[580.645142, 65.882355, -967.741943], T[164.516129, 65.806450]
Vertex 277: V[709.677368, 153.725494, -967.741943], T[172.741928, 65.806450]
Vertex 278: V[838.709656, 238.823532, -967.741943], T[180.967743, 65.806450]
Vertex 279: V[967.741943, 332.156860, -967.741943], T[189.193542, 65.806450]
Vertex 280: V[1096.774170, 329.411774, -967.741943], T[197.419342, 65.806450]
Vertex 281: V[1225.806396, 285.490204, -967.741943], T[205.645157, 65.806450]
Vertex 282: V[1354.838623, 194.901962, -967.741943], T[213.870956, 65.806450]
Vertex 283: V[1483.870972, 153.725494, -967.741943], T[222.096771, 65.806450]
Vertex 284: V[1612.903198, 107.058823, -967.741943], T[230.322571, 65.806450]
Vertex 285: V[1741.935425, 63.137257, -967.741943], T[238.548386, 65.806450]
Vertex 286: V[1870.967773, 16.470589, -967.741943], T[246.774185, 65.806450]
Vertex 287: V[2000.000000, 2.745098, -967.741943], T[255.000000, 65.806450]
Vertex 288: V[-2000.000000, 2.745098, -838.709717], T[0.000000, 74.032257]
Vertex 289: V[-1870.967773, 13.725491, -838.709717], T[8.225806, 74.032257]
Vertex 290: V[-1741.935547, 21.960785, -838.709717], T[16.451612, 74.032257]
Vertex 291: V[-1612.903198, 19.215687, -838.709717], T[24.677418, 74.032257]
Vertex 292: V[-1483.870972, 63.137257, -838.709717], T[32.903225, 74.032257]
Vertex 293: V[-1354.838745, 107.058823, -838.709717], T[41.129032, 74.032257]
Vertex 294: V[-1225.806396, 109.803925, -838.709717], T[49.354836, 74.032257]
Vertex 295: V[-1096.774170, 107.058823, -838.709717], T[57.580643, 74.032257]
Vertex 296: V[-967.741943, 104.313728, -838.709717], T[65.806450, 74.032257]
Vertex 297: V[-838.709717, 63.137257, -838.709717], T[74.032257, 74.032257]
Vertex 298: V[-709.677429, 65.882355, -838.709717], T[82.258064, 74.032257]
